index,Brand,Product,Price,Return/Exchange,Expected Delivery,Availability,URL
131, KETOSTICS,"Givson Venus Special Cutaway Rosewood 41 Inch Acoustic Semi Electric Guitar Kit with Bag, Rhythm String Set, Strap and 5 Plectrums, (Black)","4,499",7 days Returnable,"Sunday, 18 December",In stock.,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1NDUwNDgzMDA4NDk2MzI5OjE2NzA5MjE3ODA6c3BfYnRmOjIwMDk5ODg4Mzk5Mzk4OjowOjo&url=%2FSpecial-Rosewood-Acoustic-Electric-Plectrums%2Fdp%2FB09P3YMHCD%2Fref%3Dsr_1_105_sspa%3Fkeywords%3Dguitar%26qid%3D1670921780%26sr%3D8-105-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
132, VD ENTERPRISE,VD ENTERPRISE String Acoustic Guitar | Adjustable Tunning Knob | Classical Guitar Toy | Musical Instrument Learning Toy for Kids,799,7 days Replacement,"Friday, 16 December",In stock.,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1NDUwNDgzMDA4NDk2MzI5OjE2NzA5MjE3ODA6c3BfYnRmOjIwMTAyMDM2OTc1OTk4OjowOjo&url=%2FVD-ENTERPRISE-Adjustable-Classical-Instrument%2Fdp%2FB08S323L6W%2Fref%3Dsr_1_106_sspa%3Fkeywords%3Dguitar%26qid%3D1670921780%26sr%3D8-106-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
133, SMART HUB,"Smart Hub String Acoustic Guitar , Learning Toys for Girl & Boys,Musical Instrument Educational Guitar Toy for Beginners Kids 17'' - ( Pack of 1 )",499,10 days Returnable,"Friday, 16 December",In stock.,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1NDUwNDgzMDA4NDk2MzI5OjE2NzA5MjE3ODA6c3BfYnRmOjIwMTAxNTE2NzI5Njk4OjowOjo&url=%2FAcoustic-Learning-Instrument-Educational-Beginners%2Fdp%2FB0BMXLCY85%2Fref%3Dsr_1_107_sspa%3Fkeywords%3Dguitar%26qid%3D1670921780%26sr%3D8-107-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
134, GIVSON Store,"Givson Venus Special Cutaway Rosewood 41 Inch Acoustic Guitar Kit With Cover/Bag, String Set, Strap and 5 Plectrums (BLACK)","4,299",7 days Replacement,"Sunday, 18 December",In stock.,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1NDUwNDgzMDA4NDk2MzI5OjE2NzA5MjE3ODA6c3BfYnRmOjIwMDk5ODg4Mzk5Mjk4OjowOjo&url=%2FGivson-Ketostics-Guitar-Acoustic-Plectrums%2Fdp%2FB08KS5MRSC%2Fref%3Dsr_1_108_sspa%3Fkeywords%3Dguitar%26qid%3D1670921780%26sr%3D8-108-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
135, blueberry Store,"Blueberry 38C, 38"" Acoustic Guitar Kit with Bag, Strap, One Pack Strings And Picks (Natural)","2,695",7 days Replacement,"Saturday, 17 December",In stock.,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0NTU0NTU3MzUxNzAzODU4OjE2NzA5MjE3OTc6c3BfYXRmX25leHQ6MjAwNzgzMzY4ODcwOTg6OjA6Og&url=%2FBlueberry-38C-Acoustic-Strings-Natural%2Fdp%2FB08KLNFL2Y%2Fref%3Dsr_1_97_sspa%3Fkeywords%3Dguitar%26qid%3D1670921797%26sr%3D8-97-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
136, FESTRA Store,"Festra R-40- Trussrod Acoustic Guitar Kit with Bag, Strap, One Pack Strings and Picks (Black)","4,495",7 days Returnable,"Saturday, 17 December",In stock.,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0NTU0NTU3MzUxNzAzODU4OjE2NzA5MjE3OTc6c3BfYXRmX25leHQ6MjAwNzgzMzY4ODU1OTg6OjA6Og&url=%2FFestra-Trussrod-Acoustic-Guitar-Strings%2Fdp%2FB09VLBKD2M%2Fref%3Dsr_1_98_sspa%3Fkeywords%3Dguitar%26qid%3D1670921797%26sr%3D8-98-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
137, blueberry Store,"Blueberry B-D38, 38"" Acoustic Guitar Kit Inbuilt Truss Rod, with Bag, Strap, One Pack Strings And Picks (MAROON BROWN)","2,895",7 days Returnable,December 15 - 17,In stock.,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0NTU0NTU3MzUxNzAzODU4OjE2NzA5MjE3OTc6c3BfYXRmX25leHQ6MjAwNzgzMzY4ODUwOTg6OjA6Og&url=%2FBlueberry-B-D38-Acoustic-Inbuilt-Strings%2Fdp%2FB0B74CSY9V%2Fref%3Dsr_1_99_sspa%3Fkeywords%3Dguitar%26qid%3D1670921797%26sr%3D8-99-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
138, blueberry Store,"Blueberry B-40, 40"" Acoustic Guitar Kit Inbuilt Truss Rod, with Bag,Belt, One Pack Strings And Picks (Black)","4,990",7 days Replacement,"Saturday, 17 December",In stock.,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0NTU0NTU3MzUxNzAzODU4OjE2NzA5MjE3OTc6c3BfYXRmX25leHQ6MjAwNzgzMzY4ODkxOTg6OjA6Og&url=%2FBlueberry-B-40Y-Acoustic-Inbuilt-Strings%2Fdp%2FB07PLK112T%2Fref%3Dsr_1_100_sspa%3Fkeywords%3Dguitar%26qid%3D1670921797%26sr%3D8-100-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
139, ORANGEWOOD GUITARS,ORANGEWOOD REY-S SPRUCE GRAND AUDITORIUM CUTAWAY ACOUSTIC GUITAR,"13,899",7 days Replacement,"Friday, 16 December",In stock.,https://www.amazon.in/Orangewood-Auditorium-Acoustic-Earthwood-Included/dp/B07BNGWKRG/ref=sr_1_101?keywords=guitar&qid=1670921797&sr=8-101
140, Epiphone,"Epiphone DR-100 Acoustic Guitar, Vintage Sunburst","15,500",7 days Replacement,"Thursday, 15 December",In stock.,https://www.amazon.in/Epiphone-DR-100-Acoustic-Vintage-Sunburst/dp/B0002F7IV2/ref=sr_1_102?keywords=guitar&qid=1670921797&sr=8-102
141, Walden,"Walden, Acoustic Guitar, Orchestra, with Bag -Satin Natural O550E/W","36,030",7 days Replacement,"Thursday, 15 December",Only 1 left in stock.,https://www.amazon.in/Walden-Acoustic-Orchestra-Natural-O550E/dp/B086XGPWN1/ref=sr_1_103?keywords=guitar&qid=1670921797&sr=8-103
142, JUAREZ Store,"Juarez Acoustic Guitar, [LEFT HANDED] 96.52 cm (38 Inch) Cutaway, 38CL/3TS with Bag, Strings, Pick and Strap, 3TS Sunburst","2,649",7 days Replacement,"Thursday, 15 December",In stock.,https://www.amazon.in/Acoustic-Cutaway-3TS-Strings-Sunburst/dp/B098BD1MHM/ref=sr_1_104?keywords=guitar&qid=1670921797&sr=8-104
143, PRS Guitars Store,"PRS Guitars Electric Guitar, SE Standard 245, 2021 Series -Tobacco Sunburst ST245TS","66,590",7 days Replacement,"Thursday, 15 December",Only 2 left in stock.,https://www.amazon.in/PRS-Guitars-Electric-Standard-ST245TS/dp/B08X4NL6BP/ref=sr_1_105?keywords=guitar&qid=1670921797&sr=8-105
144, Fender,Fender 370910506 Squier MM Stratocaster Electric Guitar - Black with Maple Neck,"10,630",7 days Replacement,"Thursday, 15 December",Only 1 left in stock.,https://www.amazon.in/Fender-Squier-Stratocaster-Electric-Guitar/dp/B07T2R7PGY/ref=sr_1_106?keywords=guitar&qid=1670921797&sr=8-106
145, Ibanez Store,"Ibanez Acoustic Guitar MD39C Right Handed Cutaway Guitar - Natural With Bag, Belt, Plectrums Complete Pack.","8,980",7 days Replacement,"Friday, 16 December",In stock.,https://www.amazon.in/Ibanez-Acoustic-Guitar-Handed-Cutaway/dp/B08FMW6WJM/ref=sr_1_107?keywords=guitar&qid=1670921797&sr=8-107
146, Fender,Fender 0930307032 SA-105CE Dreadnought Cutaway Electric Guitar - Sunburst,"11,815",7 days Replacement,"Saturday, 17 December",Only 2 left in stock.,https://www.amazon.in/Fender-0930307032-SA-105CE-Dreadnought-Electric/dp/B009X3PM08/ref=sr_1_108_mod_primary_new?keywords=guitar&qid=1670921797&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=8-108
147, Fender,Fender 0930307032 SA-105CE Dreadnought Cutaway Electric Guitar - Sunburst,"11,815",7 days Replacement,"Saturday, 17 December",Only 2 left in stock.,https://www.amazon.in/Fender-0930307032-SA-105CE-Dreadnought-Electric/dp/B009X3PM08/ref=sr_1_108_mod_new?keywords=guitar&qid=1670921797&qu=eyJxc2MiOiI1Ljc2IiwicXNhIjoiNS4yNyIsInFzcCI6IjQuMDIifQ%3D%3D&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=8-108
148, Fender,Fender 0930307032 SA-105CE Dreadnought Cutaway Electric Guitar - Sunburst,"11,815",7 days Replacement,"Saturday, 17 December",Only 2 left in stock.,https://www.amazon.in/Fender-0930307032-SA-105CE-Dreadnought-Electric/dp/B009X3PM08/ref=sr_1_108_mod_new?keywords=guitar&qid=1670921797&qu=eyJxc2MiOiI1Ljc2IiwicXNhIjoiNS4yNyIsInFzcCI6IjQuMDIifQ%3D%3D&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=8-108
